Reference	Query
1.fa_orf00006_rev	15.fa_orf00153
1.fa_orf00011	15.fa_orf00605
1.fa_orf00018_rev	15.fa_orf01010_rev
1.fa_orf00023	15.fa_orf00039
1.fa_orf00024	15.fa_orf00025
1.fa_orf00026_rev	15.fa_orf00367_rev
1.fa_orf00027	15.fa_orf00411
1.fa_orf00030_rev	15.fa_orf00027_rev
1.fa_orf00032	15.fa_orf00557
1.fa_orf00033_rev	15.fa_orf00390_rev
1.fa_orf00039_rev	15.fa_orf00364_rev
1.fa_orf00043_rev	15.fa_orf00769
1.fa_orf00045_rev	15.fa_orf00896_rev
1.fa_orf00054	15.fa_orf00583_rev
1.fa_orf00059	15.fa_orf00854_rev
1.fa_orf00060	15.fa_orf01029
1.fa_orf00061_rev	15.fa_orf00458
1.fa_orf00062	15.fa_orf00099_rev
1.fa_orf00066_rev	15.fa_orf01206_rev
1.fa_orf00068_rev	15.fa_orf01032_rev
1.fa_orf00070_rev	15.fa_orf00361
1.fa_orf00072_rev	15.fa_orf00956_rev
1.fa_orf00075_rev	15.fa_orf00947
1.fa_orf00077	15.fa_orf00764_rev
1.fa_orf00080_rev	15.fa_orf00660_rev
1.fa_orf00083	15.fa_orf00607_rev
1.fa_orf00084_rev	15.fa_orf00131
1.fa_orf00085_rev	15.fa_orf01234_rev
1.fa_orf00086	15.fa_orf00675_rev
1.fa_orf00088	15.fa_orf01008_rev
1.fa_orf00089	15.fa_orf00378
1.fa_orf00094_rev	15.fa_orf01161
1.fa_orf00095	15.fa_orf00707_rev
1.fa_orf00100_rev	15.fa_orf00275
1.fa_orf00102_rev	15.fa_orf00952
1.fa_orf00103	15.fa_orf00961_rev
1.fa_orf00107	15.fa_orf00212
1.fa_orf00108	15.fa_orf00732_rev
1.fa_orf00112	15.fa_orf00426_rev
1.fa_orf00114	15.fa_orf01050_rev
1.fa_orf00115_rev	15.fa_orf00137_rev
1.fa_orf00116_rev	15.fa_orf00810
1.fa_orf00120_rev	15.fa_orf00510_rev
1.fa_orf00121_rev	15.fa_orf00373_rev
1.fa_orf00127	15.fa_orf00084_rev
1.fa_orf00129_rev	15.fa_orf00382
1.fa_orf00131_rev	15.fa_orf00404_rev
1.fa_orf00132_rev	15.fa_orf00192
1.fa_orf00134	15.fa_orf00745_rev
1.fa_orf00136	15.fa_orf01028_rev
