Reference	Query
1.fa_orf00008_rev	21.fa_orf00261
1.fa_orf00009	21.fa_orf01740
1.fa_orf00011	21.fa_orf00881_rev
1.fa_orf00018_rev	21.fa_orf00074
1.fa_orf00024	21.fa_orf00468
1.fa_orf00026_rev	21.fa_orf01431_rev
1.fa_orf00027	21.fa_orf01171
1.fa_orf00029_rev	21.fa_orf00236
1.fa_orf00031	21.fa_orf01351
1.fa_orf00032	21.fa_orf01395_rev
1.fa_orf00037	21.fa_orf01957
1.fa_orf00039_rev	21.fa_orf00222
1.fa_orf00041_rev	21.fa_orf01032
1.fa_orf00043_rev	21.fa_orf00316_rev
1.fa_orf00044_rev	21.fa_orf01583_rev
1.fa_orf00047	21.fa_orf00621
1.fa_orf00049	21.fa_orf01958
1.fa_orf00054	21.fa_orf01540
1.fa_orf00055_rev	21.fa_orf01644_rev
1.fa_orf00056	21.fa_orf02041
1.fa_orf00060	21.fa_orf01561
1.fa_orf00070_rev	21.fa_orf00109_rev
1.fa_orf00075_rev	21.fa_orf01459_rev
1.fa_orf00077	21.fa_orf01492_rev
1.fa_orf00081_rev	21.fa_orf00948
1.fa_orf00083	21.fa_orf00050
1.fa_orf00084_rev	21.fa_orf00006
1.fa_orf00085_rev	21.fa_orf00713
1.fa_orf00088	21.fa_orf00866
1.fa_orf00089	21.fa_orf01190_rev
1.fa_orf00090_rev	21.fa_orf00026
1.fa_orf00094_rev	21.fa_orf00531_rev
1.fa_orf00100_rev	21.fa_orf01343_rev
1.fa_orf00102_rev	21.fa_orf01529_rev
1.fa_orf00103	21.fa_orf01962
1.fa_orf00108	21.fa_orf00114
1.fa_orf00112	21.fa_orf01414_rev
1.fa_orf00116_rev	21.fa_orf00726
1.fa_orf00118_rev	21.fa_orf00061
1.fa_orf00120_rev	21.fa_orf00753_rev
1.fa_orf00121_rev	21.fa_orf00540
1.fa_orf00125	21.fa_orf01284_rev
1.fa_orf00131_rev	21.fa_orf01327_rev
1.fa_orf00132_rev	21.fa_orf00870
1.fa_orf00133	21.fa_orf00130_rev
1.fa_orf00134	21.fa_orf02084
1.fa_orf00136	21.fa_orf01637
1.fa_orf00137	21.fa_orf00348
1.fa_orf00138_rev	21.fa_orf01756_rev
1.fa_orf00144	21.fa_orf01732_rev
1.fa_orf00147_rev	21.fa_orf00607
1.fa_orf00148	21.fa_orf01837_rev
1.fa_orf00149_rev	21.fa_orf01552_rev
1.fa_orf00150	21.fa_orf00258
1.fa_orf00152_rev	21.fa_orf01202_rev
1.fa_orf00155_rev	21.fa_orf01691_rev
1.fa_orf00157_rev	21.fa_orf01615_rev
1.fa_orf00160_rev	21.fa_orf01280_rev
1.fa_orf00161	21.fa_orf00574
1.fa_orf00162	21.fa_orf00146
1.fa_orf00167_rev	21.fa_orf01008
1.fa_orf00169_rev	21.fa_orf00245
1.fa_orf00170_rev	21.fa_orf01730
1.fa_orf00171	21.fa_orf01279_rev
1.fa_orf00172_rev	21.fa_orf01604_rev
1.fa_orf00174	21.fa_orf01570_rev
1.fa_orf00176	21.fa_orf00667
1.fa_orf00178	21.fa_orf00691
1.fa_orf00180	21.fa_orf00438
1.fa_orf00181_rev	21.fa_orf01296_rev
1.fa_orf00188	21.fa_orf00670
1.fa_orf00189_rev	21.fa_orf00597
1.fa_orf00192	21.fa_orf00771
1.fa_orf00193_rev	21.fa_orf01183_rev
1.fa_orf00194_rev	21.fa_orf01175_rev
1.fa_orf00196	21.fa_orf01079
1.fa_orf00201	21.fa_orf00333
1.fa_orf00205	21.fa_orf01739_rev
1.fa_orf00208	21.fa_orf01621_rev
1.fa_orf00210	21.fa_orf00956
1.fa_orf00212	21.fa_orf00779
1.fa_orf00215	21.fa_orf00396_rev
1.fa_orf00216_rev	21.fa_orf01948
1.fa_orf00223_rev	21.fa_orf01525_rev
1.fa_orf00226	21.fa_orf00094
1.fa_orf00227	21.fa_orf01078
1.fa_orf00229_rev	21.fa_orf00844
1.fa_orf00231_rev	21.fa_orf01375_rev
1.fa_orf00232_rev	21.fa_orf00795
1.fa_orf00234_rev	21.fa_orf01653_rev
1.fa_orf00236_rev	21.fa_orf01336_rev
1.fa_orf00237	21.fa_orf00322
1.fa_orf00239	21.fa_orf00105
1.fa_orf00245	21.fa_orf00328
1.fa_orf00246	21.fa_orf00524
1.fa_orf00247	21.fa_orf00636
1.fa_orf00250	21.fa_orf00896
1.fa_orf00254	21.fa_orf01553_rev
1.fa_orf00257_rev	21.fa_orf01735_rev
1.fa_orf00258_rev	21.fa_orf01594_rev
1.fa_orf00260	21.fa_orf02070
1.fa_orf00262_rev	21.fa_orf01794_rev
1.fa_orf00274_rev	21.fa_orf02015_rev
1.fa_orf00276	21.fa_orf00569_rev
1.fa_orf00282	21.fa_orf00641
1.fa_orf00283	21.fa_orf02032
1.fa_orf00286	21.fa_orf00952
1.fa_orf00289	21.fa_orf01875
1.fa_orf00290	21.fa_orf01176_rev
1.fa_orf00295_rev	21.fa_orf01963
1.fa_orf00296_rev	21.fa_orf02018
1.fa_orf00298_rev	21.fa_orf01534_rev
1.fa_orf00309	21.fa_orf00841
1.fa_orf00313_rev	21.fa_orf00273
