Reference	Query
1.fa_orf00008_rev	25.fa_orf00593
1.fa_orf00009	25.fa_orf01017
1.fa_orf00020	25.fa_orf00232
1.fa_orf00024	25.fa_orf00285
1.fa_orf00031	25.fa_orf01262_rev
1.fa_orf00033_rev	25.fa_orf01174
1.fa_orf00037	25.fa_orf00497
1.fa_orf00039_rev	25.fa_orf00250
1.fa_orf00043_rev	25.fa_orf00746
1.fa_orf00044_rev	25.fa_orf01525_rev
1.fa_orf00045_rev	25.fa_orf00442
1.fa_orf00047	25.fa_orf01823
1.fa_orf00056	25.fa_orf00913_rev
1.fa_orf00060	25.fa_orf01919_rev
1.fa_orf00068_rev	25.fa_orf00892
1.fa_orf00070_rev	25.fa_orf01591_rev
1.fa_orf00077	25.fa_orf01856_rev
1.fa_orf00081_rev	25.fa_orf01001
1.fa_orf00083	25.fa_orf01872_rev
1.fa_orf00084_rev	25.fa_orf01763_rev
1.fa_orf00088	25.fa_orf00246
1.fa_orf00089	25.fa_orf00928_rev
1.fa_orf00090_rev	25.fa_orf00342
1.fa_orf00095	25.fa_orf01007
1.fa_orf00100_rev	25.fa_orf01875_rev
1.fa_orf00102_rev	25.fa_orf01457_rev
1.fa_orf00103	25.fa_orf00997
1.fa_orf00108	25.fa_orf00449
1.fa_orf00110	25.fa_orf01697_rev
1.fa_orf00113	25.fa_orf01095
1.fa_orf00115_rev	25.fa_orf00056
1.fa_orf00118_rev	25.fa_orf00953
1.fa_orf00120_rev	25.fa_orf01768
1.fa_orf00121_rev	25.fa_orf00798
1.fa_orf00125	25.fa_orf00731
1.fa_orf00132_rev	25.fa_orf01231_rev
1.fa_orf00134	25.fa_orf01025
1.fa_orf00136	25.fa_orf01886_rev
1.fa_orf00137	25.fa_orf00758
1.fa_orf00138_rev	25.fa_orf00450
1.fa_orf00140	25.fa_orf00070
1.fa_orf00142_rev	25.fa_orf01585_rev
1.fa_orf00144	25.fa_orf00118
1.fa_orf00146_rev	25.fa_orf00816
1.fa_orf00147_rev	25.fa_orf01323_rev
1.fa_orf00148	25.fa_orf01340_rev
1.fa_orf00149_rev	25.fa_orf01491
1.fa_orf00150	25.fa_orf01211_rev
1.fa_orf00152_rev	25.fa_orf00891
1.fa_orf00158	25.fa_orf01655_rev
1.fa_orf00159_rev	25.fa_orf00159
1.fa_orf00161	25.fa_orf01240
1.fa_orf00162	25.fa_orf01578_rev
1.fa_orf00163_rev	25.fa_orf00572
1.fa_orf00164_rev	25.fa_orf01302_rev
1.fa_orf00167_rev	25.fa_orf01184_rev
1.fa_orf00173_rev	25.fa_orf00848
1.fa_orf00174	25.fa_orf01726_rev
1.fa_orf00178	25.fa_orf01995
1.fa_orf00180	25.fa_orf01000
1.fa_orf00181_rev	25.fa_orf00664
1.fa_orf00184_rev	25.fa_orf00789
1.fa_orf00185	25.fa_orf01661_rev
1.fa_orf00187_rev	25.fa_orf01090_rev
1.fa_orf00188	25.fa_orf01410
1.fa_orf00191_rev	25.fa_orf00365
1.fa_orf00192	25.fa_orf01874_rev
1.fa_orf00193_rev	25.fa_orf00907
1.fa_orf00194_rev	25.fa_orf01547_rev
1.fa_orf00196	25.fa_orf01266_rev
1.fa_orf00198_rev	25.fa_orf01537_rev
1.fa_orf00205	25.fa_orf01067_rev
1.fa_orf00208	25.fa_orf01521_rev
1.fa_orf00209	25.fa_orf01772_rev
1.fa_orf00213_rev	25.fa_orf01404_rev
1.fa_orf00215	25.fa_orf00944
1.fa_orf00216_rev	25.fa_orf01737_rev
1.fa_orf00221_rev	25.fa_orf01964_rev
1.fa_orf00223_rev	25.fa_orf01573_rev
1.fa_orf00224_rev	25.fa_orf00115_rev
1.fa_orf00226	25.fa_orf01605
1.fa_orf00229_rev	25.fa_orf01927
1.fa_orf00232_rev	25.fa_orf00373_rev
1.fa_orf00234_rev	25.fa_orf00903
1.fa_orf00236_rev	25.fa_orf01628_rev
1.fa_orf00237	25.fa_orf00761
1.fa_orf00239	25.fa_orf01779_rev
1.fa_orf00245	25.fa_orf01009
1.fa_orf00247	25.fa_orf01314
1.fa_orf00250	25.fa_orf01947_rev
1.fa_orf00251	25.fa_orf00213
1.fa_orf00254	25.fa_orf01490
1.fa_orf00255_rev	25.fa_orf00364
1.fa_orf00257_rev	25.fa_orf00977
1.fa_orf00258_rev	25.fa_orf00822
1.fa_orf00262_rev	25.fa_orf00077_rev
1.fa_orf00264	25.fa_orf01664_rev
1.fa_orf00270_rev	25.fa_orf00221
1.fa_orf00276	25.fa_orf01627_rev
1.fa_orf00277	25.fa_orf00297
1.fa_orf00282	25.fa_orf01565_rev
1.fa_orf00283	25.fa_orf01251_rev
1.fa_orf00290	25.fa_orf01376_rev
1.fa_orf00294_rev	25.fa_orf00150
1.fa_orf00296_rev	25.fa_orf00980
1.fa_orf00299	25.fa_orf00842
1.fa_orf00300_rev	25.fa_orf00303
1.fa_orf00311_rev	25.fa_orf01836_rev
1.fa_orf00313_rev	25.fa_orf00148
1.fa_orf00319_rev	25.fa_orf00413
1.fa_orf00323_rev	25.fa_orf01328_rev
1.fa_orf00324_rev	25.fa_orf00378
1.fa_orf00327	25.fa_orf01735_rev
1.fa_orf00329	25.fa_orf01060
1.fa_orf00331	25.fa_orf00738
1.fa_orf00333_rev	25.fa_orf01235_rev
1.fa_orf00335	25.fa_orf01742_rev
1.fa_orf00336	25.fa_orf00547
1.fa_orf00338	25.fa_orf00609
1.fa_orf00339	25.fa_orf01567_rev
1.fa_orf00341_rev	25.fa_orf00155
1.fa_orf00344	25.fa_orf00218
1.fa_orf00348	25.fa_orf00641
1.fa_orf00352	25.fa_orf01204_rev
1.fa_orf00354	25.fa_orf00667
1.fa_orf00356	25.fa_orf01544
1.fa_orf00357	25.fa_orf00291
1.fa_orf00360	25.fa_orf01420
1.fa_orf00365	25.fa_orf00256
1.fa_orf00366	25.fa_orf01438_rev
1.fa_orf00367	25.fa_orf01429_rev
1.fa_orf00369	25.fa_orf00930_rev
1.fa_orf00373	25.fa_orf01946
1.fa_orf00375	25.fa_orf00955
1.fa_orf00376_rev	25.fa_orf01951_rev
1.fa_orf00377	25.fa_orf00173
1.fa_orf00380_rev	25.fa_orf00038_rev
1.fa_orf00384	25.fa_orf00055
1.fa_orf00386	25.fa_orf01032
1.fa_orf00387_rev	25.fa_orf00883
1.fa_orf00389_rev	25.fa_orf01751_rev
1.fa_orf00391_rev	25.fa_orf00334_rev
1.fa_orf00393	25.fa_orf00203
1.fa_orf00394_rev	25.fa_orf00860
1.fa_orf00396	25.fa_orf01250_rev
1.fa_orf00401	25.fa_orf01764_rev
1.fa_orf00402_rev	25.fa_orf00629_rev
1.fa_orf00406	25.fa_orf01445_rev
1.fa_orf00414_rev	25.fa_orf01857_rev
1.fa_orf00415	25.fa_orf00388_rev
1.fa_orf00417_rev	25.fa_orf00590
1.fa_orf00422_rev	25.fa_orf00138
1.fa_orf00423_rev	25.fa_orf00332
1.fa_orf00433	25.fa_orf00278
1.fa_orf00435_rev	25.fa_orf01715_rev
1.fa_orf00439_rev	25.fa_orf00900
1.fa_orf00442	25.fa_orf00805
1.fa_orf00443_rev	25.fa_orf01034
1.fa_orf00444_rev	25.fa_orf01044
1.fa_orf00446_rev	25.fa_orf01729_rev
1.fa_orf00447	25.fa_orf01460_rev
1.fa_orf00448	25.fa_orf01757_rev
1.fa_orf00451_rev	25.fa_orf00698
1.fa_orf00453_rev	25.fa_orf01270_rev
1.fa_orf00454	25.fa_orf01498_rev
1.fa_orf00457	25.fa_orf00597
1.fa_orf00462	25.fa_orf00212
1.fa_orf00465	25.fa_orf01809_rev
1.fa_orf00468	25.fa_orf01111_rev
1.fa_orf00473	25.fa_orf01898_rev
1.fa_orf00474	25.fa_orf01728
1.fa_orf00475	25.fa_orf00050
1.fa_orf00477	25.fa_orf01948_rev
1.fa_orf00481	25.fa_orf01055
1.fa_orf00484_rev	25.fa_orf01667
1.fa_orf00485	25.fa_orf00281
1.fa_orf00488_rev	25.fa_orf01674
1.fa_orf00490	25.fa_orf00272
1.fa_orf00491_rev	25.fa_orf01545_rev
1.fa_orf00492	25.fa_orf00484
1.fa_orf00493	25.fa_orf00338
1.fa_orf00494_rev	25.fa_orf00030
1.fa_orf00496	25.fa_orf01385_rev
1.fa_orf00497_rev	25.fa_orf00104_rev
1.fa_orf00501	25.fa_orf00140
1.fa_orf00505_rev	25.fa_orf01609_rev
1.fa_orf00506_rev	25.fa_orf00244
1.fa_orf00507_rev	25.fa_orf00313
1.fa_orf00509	25.fa_orf01366_rev
1.fa_orf00511_rev	25.fa_orf00888
1.fa_orf00515	25.fa_orf00894
1.fa_orf00516_rev	25.fa_orf00515
1.fa_orf00518	25.fa_orf00734
1.fa_orf00523	25.fa_orf01590_rev
1.fa_orf00525_rev	25.fa_orf00405
1.fa_orf00531	25.fa_orf00963_rev
1.fa_orf00532	25.fa_orf01593_rev
1.fa_orf00534_rev	25.fa_orf00642
1.fa_orf00538	25.fa_orf01710_rev
1.fa_orf00539_rev	25.fa_orf01161_rev
1.fa_orf00545_rev	25.fa_orf01064_rev
1.fa_orf00552_rev	25.fa_orf00645_rev
1.fa_orf00554	25.fa_orf00103_rev
1.fa_orf00556_rev	25.fa_orf00200
1.fa_orf00561_rev	25.fa_orf00197
1.fa_orf00564	25.fa_orf02001
1.fa_orf00565_rev	25.fa_orf00792
1.fa_orf00567_rev	25.fa_orf00142
1.fa_orf00568	25.fa_orf01558
1.fa_orf00569_rev	25.fa_orf01447
1.fa_orf00576	25.fa_orf01202_rev
1.fa_orf00578	25.fa_orf00672
1.fa_orf00584	25.fa_orf01851_rev
1.fa_orf00594_rev	25.fa_orf01179_rev
1.fa_orf00604	25.fa_orf01381_rev
1.fa_orf00612	25.fa_orf01365_rev
